customer_id,name,address,phone,customer_code
1,Westmans Bagel & Caffe DBA TETIA LLC,"2925 223rd Pl SW, Brier, WA 98036",352-502-8078,6775
2,WESTMANS BAGEL & CAFFE DBA TETIA LLC,"2925 223rd Pl SW, Seattle, WA 98105",352-502-8078,6775
3,Westmans Bagel & Caffe DBA TETIA LLC,"2925 223rd Pl SW, University Way NE, Brier, WA 98036",352-502-8078,
4,WESTMANS BAGEL & CAFFE DBA TETIA LLC,"2925 223rd PL SW, BRIER, WA 98036",352-502-8078,6775
5,WESTMANS BAGEL & CAFFE DBA TETIA LLC,"2925 223rd PL SW, University Way NE, BRIER, WA 98036",352-502-8078,6775
6,Westmans Bagel & Caffe DBA TETIA LLC,"2925 223rd Pl SW, Seattle, WA 98105",352-502-8078,6775
7,WESTMANS BAGEL & CAFFE DBA,"2925 223rd Pl SW, Seattle, WA 98105",352-502-8078,
8,WESTMANS BAGEL & CAFFE DBA TETIA LLC,"2925 223rd PL SW, Seattle, WA 98105",352-502-8078,6775
9,Westmans Bagel & Caffe DBA TETIA LLC,"2925 223rd Pl SW, Brier, WA 98036; 5201 University Way NE, Seattle, WA 98105",352-502-8078,6775
10,Westmans Bagel & Caffe DBA TETIA LLC,"2925 223rd PL SW, UNIVERSITY WAY NE, BRIER, WA 98036",352-502-8078,
11,WESTMAN'S BAGEL-MADISON ST,"1509 E MADISON ST, SEATTLE, WA 98122",352-502-8078,
12,WESTMAN'S BAGEL-MADISON ST,"1509 E MADISON ST
SEATTLE, WA 98122",352-502-8078,
13,WESTMAN'S BAGEL-MADISON ST,"1509 E MADISON ST SEATTLE, WA 98122",352-502-8078,
